国际化数据分析师,北京,字节跳动,3-6万/月,06-23,"['北京\xa0\xa0', '\xa0\xa0在校生/应届生\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招10人\xa0\xa0', '\xa0\xa006-23发布']","['互联网/电子商务,计算机软件']",['民营公司'],['10000人以上'],[]
数据分析师（房地产评估）,北京-海淀区,瑞庭网络技术（上海）有限公司北京分公司,1-2万/月,06-23,"['北京-海淀区\xa0\xa0', '\xa0\xa0无需经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']","['互联网/电子商务,广告']",['上市公司'],['10000人以上'],"['【岗位职责】', '1.参与完善城市住宅小区价格数据监控、采集和运营工作，并输出专业研究报告；', '2.负责多城市的房产基础数据类项目，负责各类数据的采集，包括项目实地线下数据采集并编制报表；', '3.负责多城市的房产数据质量审核及运营；', '4.通过对外横向沟通和协调，解决数据应用问题；', '5.参与集团房产数据库的运营分析，能够通过数据分析工具输出分析报告；', '【任职要求】', '1.本科以上学历，房地产相关专业、应用数据、统计学、经济类、金融类、信息管理类专业毕业者优先；', '2.有房产估价经验，熟悉房产业务者优先。', '3.对房产数据发展、数据分析挖掘、市场研究、数据商业化应用有较好的发展意向；', '4.有较强的沟通能力，反应敏捷，思路活跃，逻辑清晰，快速学习，善于表达，承担一定的工作压力。 ']"
项目经理（数据中心）,深圳,深圳中青宝互动网络股份有限公司,2-2.5万/月,06-23,"['深圳\xa0\xa0', '\xa0\xa05-7年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']",['网络游戏'],['上市公司'],['500-1000人'],['5、有数据中心施工现场管管理经验；\xa0']
数据分析岗,温州,中国平安人寿保险股份有限公司温州中心支公司,4.5-6千/月,06-23,[],[],[],[],[]
商品专员/货控（数据分析方向）,武汉-江汉区,百丽鞋业（武汉）有限公司,4.5-6千/月,06-23,"['武汉-江汉区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa006-23发布']","['服装/纺织/皮革,批发/零售']",['民营公司'],['1000-5000人'],"['岗位职责：', '1、负责辖区内货品的配、补、退、调、上市计划等货品的相关管理；', '2、根据季度及年度预算积极完成货品售罄率目标，并监管和降低公司库存的职责。', '3、制作每周、月、季度销售数据分析及报告。', '4、负责所辖区域内商品进销动态的数据收集、整理分析，合理控制库存、优化商品结构，提出合理的促销建议和进货优惠建议；', '5、跟踪及分析货品进销运作情况，进行货品管理；', '任职要求：', '1、大专及以上学历；', '2、两年以上服饰鞋类货品采购、销售及库存管理工作经验；', '3、具备良好的数据分析与逻辑判断能力，能根据各项指标的完成情况进行分析，协助制定相关措施；', '4、沟通能力强，具备较强的团队合作精神。', '福利待遇：', '1、5天工作制；', '2、按照国家规定购买五险（养老、医疗、工伤、失业、生育）一金；', '3、享受国家法定节假日（元旦、春节、清明、五一、十一、端午、中秋等）、带薪年假；', '4、节假日福利、婚育礼金、生日会礼物、健康体检、分享会；', '5、年终奖金。']"
数据录入员,重庆-渝北区,北京蛋黄科技有限公司,100元/天,06-23,"['重庆-渝北区\xa0\xa0', '\xa0\xa0在校生/应届生\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招5人\xa0\xa0', '\xa0\xa006-23发布']","['互联网/电子商务,医疗/护理/卫生']",['创业公司'],['50-150人'],"['1）依托公司信息系统，对文本资料进行标准化录入与更新；', '2）核实录入数据信息的准确性。', '任职要求：', '1）本科以上学历，专业不限；', '2）熟练使用电脑、办公软件；', '3）学习能力强，工作认真负责，愿意系统学习大健康产业知识者优先。']"
大数据开发工程师,深圳-南山区,深圳市法本信息技术股份有限公司,1-1.5万/月,06-23,"['深圳-南山区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招10人\xa0\xa0', '\xa0\xa006-23发布']","['计算机服务(系统、数据服务、维修),外包服务']",['上市公司'],['5000-10000人'],"['1、负责实时数据仓库实施和维护、ETL作业开发； ', '2、负责数据仓库问题查询，埋点问题分析，优化现有作业，保证数据服务稳定； ', '3、按时完成数据临时需求、数据提取等任务；', '岗位要求', '1、计算机、数学等相关专业本科以上学历； ', '2、具有两年以上数据开发工作经验，熟悉互联网行业常见的分析指标; ', '3、了解实时数据开发,熟悉HDFS相关数据组件,熟悉flink;', '4、有一定编程经验,熟悉java、scala、python中的一种;', '5、熟练使用SQL/HIVE、LINUX命令;', '6、有一定数仓建模经验;']"
数据仓库开发工程师,成都-武侯区,税友软件集团股份有限公司四川分公司,0.6-1.2万/月,06-23,"['成都-武侯区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招3人\xa0\xa0', '\xa0\xa006-23发布']","['计算机软件,计算机服务(系统、数据服务、维修)']",['民营公司'],['150-500人'],"['岗位职责描述', '1、\xa0负责数据仓库开发，存储过程编写，数据模型研究，大数据研究等。', '2、\xa0熟悉Oracle下的分区，表空间，\xa0SQL性能调优等操作；', '3、\xa0熟悉常用的ETL工具，如：kettle，\xa0informatica等；', '4、\xa0熟悉常用的报表工具，如：Cognos等；', '5、\xa0有财税行业从业经验优先。\xa0', '学历专业要求', '1.本科以上学历，计算机相关专业。\xa0', '2.精通Oracle数据库管理，熟悉PL/SQL，能独立进行排错、调优。', '3.熟练掌握oracle数据库sql语句的执行计划及性能优化技术。', '5.具有方案、报告编写的能力。', '6.有良好的沟通技能及处理突发事件的能力。', '7.善于与人沟通，对工作认真负责，具备良好的团队合作、抗压能力。', '经验及技能', '数据层开发', '关键维度', '数据工程师']"
数据挖掘工程师,深圳-南山区,深圳得程数据科技有限公司,1.5-2万/月,06-23,"['深圳-南山区\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa006-23发布']","['专业服务(咨询、人力资源、财会),计算机软件']",['民营公司'],['50-150人'],"['请认真看清楚要求在投递简历，谢谢', '要求：', '1、本科以上学历，数学、统计学或计算机等理科教育背景', '2、有3年以上数据挖掘和机器学习相关的实战经验', '3、有安全相关经验者优先', '4、有图计算，深度学习相关经验者优先', '5、良好的沟通和学习能力，能够快速掌握工作所需技能', '职责：', '1、主要负责利用大数据的能力，经验，算法，模型等建设情报能力系统', '2、结合深度学习和传统机器学习的技术从多个维度建立属性行为画像', '3、通过各种海量的异构的数据、探索路径、方法发现各种异常、情报、意图、追本溯源', '4、利用时间序列模型和预测模型等实时分析用户和机器的行为，从海量数据中挖掘异常行为点', '5、了解业界安全态势和热点，对黑产产业链深入分析；']"
数据运维,成都-金牛区,四川省梦创卿尘电子商务有限公司,4-5千/月,06-23,"['成都-金牛区\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']","['快速消费品(食品、饮料、化妆品),互联网/电子商务']",['创业公司'],['50-150人'],"['岗位职责：', '1、负责系统平台的日常运维，包括巡检、监控、备份、故障处理、系统优化等提供技术支持；', '2、\xa0负责公司网络及其设备的维护、管理、故障排除等日常工作；', '3、基础生产环境、系统的维护及配置。', '4、提取系统数据供公司决策判断，维护会员数据完整性', '\xa0', '任职资格：', '1、熟悉Mysql数据库，熟练SQL语言和脚本', '2、了解通信行业、IT技术、移动互联网产品、有较强的学习能力，能熟练操作办公类软件；', '3、有社交电商经验、基本开发经验优先；', '4、勤奋、积极、有抗压能力，责任心强，沟通表达能力强，具有团队合作精神。']"
数据专员,上海-松江区,递一国际物流有限公司,6-8千/月,06-23,"['上海-松江区\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']",['交通/运输/物流'],['民营公司'],['150-500人'],"['岗位职责：', '1、汇总数据、确保报表数据的及时性、完整性、准确性；\xa0', '2、完成具体指定的数据统计工作及对统计资料进行管理及归档；\xa0', '3、完成上级领导安排的其他工作；\xa0', '岗位要求：', '\xa01、电脑运用熟练，对excel函数、数据透视表等十分熟悉；\xa0', '2、擅长数据统计，对数字敏感；\xa0', '3、能够准时、准确的于规定之时效内，完成数据统计工作；\xa0', '4、做事严谨、细心，有较好的沟通能力和团队合作精神，抗压能力强；\xa0', '5、大专级以上学历。']"
